Start,End,Phenomena,Location,Causes,Reports
Janeiro (a partir do dia 17),Janeiro/2020,"Anomalias positivas de precipitação tiveram destaque, pois causaram alagamentos,  mortes, milhares de pessoas desabrigadas, impacto de milhões de reais na agropecuária, etc",Espírito Santo e Minas Gerais,"Frente Fria
ZCAS
Ciclone Subtropical Kurumi","INMET: http://www.inmet.gov.br/portal/index.php?r=noticia/visualizarNoticia&id=244
INCAPER: https://incaper.es.gov.br/Not%C3%ADcia/chuva-prejuizo-estimado-supera-r-88-milhoes-na-agropecuaria-capixaba
NOTICIAS: https://g1.globo.com/es/espirito-santo/noticia/2019/11/20/chuva-no-es-ja-deixa-mais-de-1600-pessoas-fora-de-casa-em-seis-cidades.ghtml"
19/01/2020,21/01/2020,Tempestade Gloria,Espanha,,https://www.tempo.com/noticias/actualidade/tempestade-gloria-deixa-mortos-e-rastro-de-destruicao-na-espanha.html
1/1/2020,Janeiro/2020,Grandes inundações Indonésia,Indonésia,Forte convergencia de ventos,https://www.tempo.com/noticias/actualidade/pior-inundacao-em-decadas-deixa-dezenas-de-mortos-na-indonesia.html
9/2/2020,10/2/2020,Chuvas fortes e alagamentos,São Paulo,Frente fria + cavado em médios níveis,"https://www.climatempo.com.br/noticia/2020/02/10/rios-e-corregos-transbordam-em-sao-paulo-com-chuva-volumosan-1798
https://www.climatempo.com.br/noticia/2020/02/10/chuva-de-fevereiro-em-sao-paulo-supera-a-media-apos-temporal-1804
https://www.cgesp.org/v3/noticias.jsp
http://www.inmet.gov.br/portal/index.php?r=home/page&page=notas_tecnicas"
1/2/2020,29/02/2020,Mês de fevereiro foi o mais chuvoso em 77 anos. Temperaturas máximas são as menores desde 2004.,São Paulo (estação meteorológica convencional do Mirante de Santana),???,"https://drive.google.com/file/d/1dONw6Rf73VWKcp3ZkBqvrru5X-WJCK6V/view?usp=sharing
http://www.inmet.gov.br/portal/index.php?r=noticia/visualizarNoticia&id=254
http://www.inmet.gov.br/portal/index.php?r=home/page&page=notas_tecnicas"
1/1/2020,25/02/2020,Diminuição de plumas de poluição (NO2),China,"Por conta do coronavirus, houve uma diminuição no fluxo econômico no país (diminuição de atividades em indústrias, carros, etc.)",https://www.carbonbrief.org/analysis-coronavirus-has-temporarily-reduced-chinas-co2-emissions-by-a-quarter; https://www.scmp.com/economy/china-economy/article/3050527/chinas-capital-shrouded-air-pollution-despite-reduced; https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china?src=nha
22/02/2020,23/02/2020,Friagem atípica,Acre,Massa de ar frio que atuou durante o Carnaval,https://www.climatempo.com.br/noticia/2020/02/23/acre-sentiu-friagem-atipica-no-fim-de-semana-2051
1/2/2020,29/02/2020,Segundo fevereiro mais quente da história,Global,,https://blogs.scientificamerican.com/eye-of-the-storm/february-2020-earths-2nd-warmest-february-and-3rd-warmest-month-on-record/
6/2/2020,6/2/2020,Antartica registra novo recorde de temperatura:18.3°C,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://weather.com/en-IN/india/news/news/2020-02-10-antarctica-records-highest-temperature-ever-first-week-february
9/2/2020,9/2/2020,Antartica registra novo recorde de temperatura:20.75°C,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://www.bbc.com/news/world-51500692
5/2/2020,13/02/2020,Rápido derretimento de neve na ilha Eagle,Antártica,Efeito Foehn e alta pressão sobre a peninsula,https://earthobservatory.nasa.gov/images/146322/antarctica-melts-under-its-hottest-days-on-record
Final janeiro,Todo mes fevereiro,Infestação gafanhotos,Leste África,Chuvas associadas ao Dipolo do Oceano Indico,https://www.tempo.com/noticias/actualidade/leste-da-africa-enfrenta-a-pior-infestacao-de-gafanhotos-em-decadas.html
28/02,29/02,Tempestade Jorge,Noroeste Europa,Jatos de Altos Níveis bem intensos (forte AO positivo),"https://www.bbc.com/news/uk-51686979
https://www.tempo.com/noticias/actualidade/tempestade-jorge-ventos-fortes-tombam-caminhao-na-irlanda.html"
2/9/20,2-Oct,Tempestade Ciara,Noroeste Europa,Jatos de Altos Níveis bem intensos (forte AO positivo),https://www.tempo.com/noticias/actualidade/tempestade-ciara-gera-caos-e-mortes-na-europa.html
15/02/2020,17/02/2020,Tempestade Dennis,Noroeste Europa,Jatos de Altos Níveis bem intensos (forte AO positivo),"https://www.tempo.com/noticias/actualidade/os-impressionantes-dados-e-imagens-deixadas-pela-tempestade-dennis.html
https://www.tempo.com/noticias/actualidade/por-que-o-atlantico-norte-esta-produzindo-tempestades-tao-intensas.html"
22/02/2020,24/02/2020,Frio Carnaval,Brasil,Amplo cavado em altos níveis,https://www.tempo.com/noticias/actualidade/carnaval-frio-de-inverno-e-geadas-em-partes-do-brasil.html
22/02/2020,23/02/2020,Ressaca litoral de São Paulo assusta banhistas,Litoral norte SP,Efeito combinado de maré astronômica e meteorológica,https://www.tempo.com/noticias/actualidade/ressacas-no-litoral-sul-e-sudeste-do-brasil.html
3-Apr,3-Aug,Queimadas,"Pantanal Matogrossense, principalmente municípios de Corumbá e Poconé (MS)",Chuvas esparsas fizeram com que pântanos secassem,https://earthobservatory.nasa.gov/images/146409/fire-in-the-pantanal?src=nha
2/3/2020,3/2/2020,45 mortos devido a deslizamentos de terra,Baixada Santista,Ciclogenese na costa do RJ,"https://www.tempo.com/noticias/actualidade/chuva-intensa-mortes-desaparecimentos-baixada-santista.html
https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/03/18/baixada-santista-mortos-encontrados.htm"
1/3/2020,até o momento,Fortes chuvas norte do Nordeste,"Maranhão, Piaui, Ceará ",ZCIT,"https://www.tempo.com/noticias/actualidade/chuvas-torrenciais-alertas-cptec-inpe-nordeste.html
https://g1.globo.com/ma/maranhao/noticia/2020/03/16/fortes-chuvas-causam-estragos-em-cidades-do-maranhao.ghtml
https://g1.globo.com/ma/maranhao/noticia/2020/03/16/em-duas-semanas-ja-choveu-mais-que-o-dobro-do-esperado-para-marco-inteiro-em-imperatriz.ghtml
https://www.climatempo.com.br/noticia/2020/03/10/em-10-dias-sao-luis-acumulou-70-da-chuva-de-marco-2291
https://g1.globo.com/ce/ceara/noticia/2020/03/15/maior-chuva-do-ano-provoca-alagamentos-em-vias-e-residencias-de-fortaleza.ghtml"
9/3/2020,12/3/2020,Cheia Rio São Francisco,Bahia e Minas Gerais,ZCAS (01 a 08/03/2020),https://agenciasertao.com/2020/03/12/rio-sao-francisco-termina-com-cheia-sua-decada-mais-seca/
6/3/2020,11/3/2020,Muita chuva em Belém,Pará,ZCIT,"https://www.climatempo.com.br/noticia/2020/03/07/zcit-provoca-muita-chuva-em-belem-2250
https://g1.globo.com/pa/para/noticia/2020/03/11/congestionamento-e-alagamentos-marcam-mais-um-dia-de-forte-chuva-e-mare-alta-em-belem.ghtml"
13/03/2020,15/03/2020,Onda de calor no Sul- termometros chegaram a 43°C,Rio Grande do Sul,alta pressão,"https://odiario.net/destaque/termometros-de-dois-irmaos-registram-43c-na-tarde-desse-sabado/
https://gauchazh.clicrbs.com.br/ambiente/noticia/2020/03/inmet-alerta-para-onda-de-calor-no-rs-termometros-podem-chegar-a-41degc-no-final-de-semana-ck7nibib703el01pq6ztzjj4i.html"
Fevereiro,até o momento,Estiagem Sul,Sul do Brasil,"Sistemas frontais atuando e ""estacionando"" mais a norte","https://odiario.net/noticias/outono-nao-diminuira-estragos-causados-pela-estiagem-na-regiao/
https://www.nsctotal.com.br/colunistas/puchalski/chuva-abaixo-do-padrao-em-marco-em-santa-catarina
https://www.jornaldocomercio.com/_conteudo/economia/2020/03/727591-estiagem-ja-casou-perdas-diretas-de-mais-de-r-5-bilhoes-no-milho-e-na-soja.html"
Todo mes de março,,2° mes de março mais quente da história,Global,,https://blogs.scientificamerican.com/eye-of-the-storm/march-2020-earths-second-warmest-march-and-third-warmest-month-on-record/
Todo mes de março,,Balanço de chuvas capitais Brasil,Brasil,,https://www.climatempo.com.br/noticia/2020/03/31/alguns-numeros-da-chuva-de-marco-de-2020-no-brasil-2579
Todo mes de março,,Chuvas volumosas no Nordeste,Pernambuco,ZCIT e Atlantico tropical sul aquecido,https://g1.globo.com/economia/agronegocios/globo-rural/noticia/2020/04/05/chuvas-animam-produtores-do-sertao-de-pernambuco.ghtml
Todo mes de março,,Chuvas volumosas no Nordeste,Pernambuco,ZCIT e Atlantico tropical sul aquecido,https://g1.globo.com/al/alagoas/noticia/2020/04/04/alerta-de-rompimento-de-barragem-em-pe-e-enchente-em-al-e-mantido.ghtml
Todo mes de março,,Chuvas volumosas no Nordeste,Ceará,ZCIT e Atlantico tropical sul aquecido,https://www.opovo.com.br/noticias/ceara/2020/04/01/chuvas-de-marco-no-ceara-superam-em-38-2--a-media-para-o-mes.html
Todo mes de março,,Chuvas volumosas no Nordeste,Tocantins,ZCIT e Atlantico tropical sul aquecido,https://afnoticias.com.br/cidades/cidade-do-tocantins-sofre-com-a-maior-enchente-ja-registrada-nos-ultimos-40-anos-veja-video
Todo mes de março,,Chuvas volumosas no Nordeste,Maranhão,ZCIT e Atlantico tropical sul aquecido,https://g1.globo.com/ma/maranhao/noticia/2020/03/16/fortes-chuvas-causam-estragos-em-cidades-do-maranhao.ghtml
7/4/2020,8/4/2020,Massa de ar frio,,Frente fria e alta pós frontal,https://www.climatempo.com.br/noticia/2020/04/08/frio-de-quase-4dc-abaixo-de-zero-no-sul-do-brasil-2772
8/4/2020,9/4/2020,Massa de ar frio,"Sul, Sudeste e Centro-Oeste",Frente fria e alta pós frontal,https://www.climatempo.com.br/noticia/2020/04/09/recorde-de-frio-em-sao-paulo-campo-grande-e-florianopolis-2803
7/4/2020,8/4/2020,Massa de ar frio,Sul,Frente fria e alta pós frontal,https://www.climatempo.com.br/noticia/2020/04/08/recorde-de-frio-em-porto-alegre-e-em-florianopolis-2769
Desde inicio do ano,em continuidade,Estiagem Sul,Santa Catarina,"Frentes frias não ""estacionam"" na região; persistencia alta pressão",https://g1.globo.com/sc/santa-catarina/noticia/2020/04/20/estiagem-deixa-mais-municipios-de-sc-em-situacao-critica-de-abastecimento.ghtml
Desde inicio do ano,em continuidade,Estiagem Sul,Paraná,"Frentes frias não ""estacionam"" na região; persistencia alta pressão",https://www.folhadelondrina.com.br/geral/parana-vive-maior-crise-hidrica-dos-ultimos-20-anos-2991089e.html
21/04/2020,21/04/2020,Chuvas volumosas NE,Maranhão,ZCIT; anomalias positivas TSM Atl. tropical,https://g1.globo.com/ma/maranhao/noticia/2020/04/21/em-apenas-tres-horas-sao-luis-teve-76percent-da-chuva-prevista-para-o-mes-de-abril.ghtml
20/04/2020,21/04/2020,Chuvas volumosas NE,Salvador,Cavado invertido na costa (pela carta sinótica do CPTEC),https://g1.globo.com/ba/bahia/noticia/2020/04/21/salvador-teve-em-24h-mais-de-um-terco-da-chuva-esperada-para-todo-o-mes-de-abril-diz-diretor-da-defesa-civil.ghtml
Março,Final de abril,Raro buraco na camada de ozonio se fecha em abril,Artico,(explicação link da NASA),"https://edition.cnn.com/2020/04/27/world/ozone-hole-arctic-scn-trnd/index.html
https://www.nasa.gov/feature/goddard/2020/nasa-reports-arctic-stratospheric-ozone-depletion-hit-record-low-in-march"
Inicio mes,Final mes,Abril seco em SP,São Paulo,,https://g1.globo.com/sp/sao-paulo/noticia/2020/04/30/cidade-de-sao-paulo-registra-abril-mais-seco-dos-ultimos-4-anos.ghtml
Inicio mes,Final mes,Chuvas volumosas NE,Maranhão,ZCIT; anomalias positivas TSM Atl. tropical,https://g1.globo.com/ma/maranhao/noticia/2020/04/29/choveu-cerca-de-15percent-a-mais-que-o-previsto-para-o-mes-de-abril-em-sao-luis.ghtml
Inicio mes,Final mes,Chuvas volumosas NE,Salvador,,"http://atarde.uol.com.br/bahia/salvador/noticias/2126268-salvador-tem-regioes-com-o-dobro-de-acumulados-de-chuva-previstos-para-abril
https://www.climatempo.com.br/noticia/2020/04/24/salvador-tem-um-dos-meses-de-abril-mais-chuvosos-em-20-anos-3142"
26/04/2020,27/04/2020,Chuvas volumosas NE,Caruaru-Pernambuco,Cavado invertido na costa (pela carta sinótica do CPTEC),https://g1.globo.com/pe/caruaru-regiao/noticia/2020/04/27/apos-chuvas-prefeitura-de-caruaru-decreta-situacao-de-emergencia.ghtml
Janeiro,Abril,Chuvas volumosas NE,Ceará,ZCIT; anomalias positivas TSM Atl. tropical,https://diariodonordeste.verdesmares.com.br/editorias/regiao/em-4-meses-chove-quase-todo-o-volume-esperado-para-2020-no-ceara-1.2240201
2/4/2020,6/4/2020,Ciclone Tropical Harold,Ilhas Vanuatu,,https://www.tempo.com/noticias/actualidade/ciclone-tropical-harold-causa-destruicao-em-ilhas-do-pacifico-sul.html
13/05/2020,21/05/2020,Furacão,Baía de Bengala - atingindo Bangladesh e o leste da Índia,Furacão Amphan,https://www.bbc.com/news/world-asia-india-52749935 ;https://earthobservatory.nasa.gov/images/146749/amphan-batters-india-bangladesh?src=nha
2012,"01/04/2020
Reportado em 19/05/2020",Fim ou quase fim da seca,Nordeste,"Marengo et al. (2018): The drought conditions that started to intensify in 2012 were linked to an anomalously warm Tropical North Atlantic Ocean that favored an anomalously northward position of the ITCZ and leaving less rainfall in NEB. The La  Nina event conditions in 2013 were not enough to offset the drought conditions established years before, and the El Nino in 2015 worsened drought conditions after that.","http://www.funceme.br/?p=7077

MARENGO, JOSÉ A. et al . Climatic characteristics of the 2010-2016 drought in the semiarid Northeast Brazil region. An. Acad. Bras. Ciênc.,  Rio de Janeiro ,  v. 90, n. 2, supl. 1, p. 1973-1985,  Aug.  2018 .   Available from <http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652018000501973&lng=en&nrm=iso>. access on  12  June  2020.  Epub Aug 14, 2017.  https://doi.org/10.1590/0001-3765201720170206."
,Em andamento,Impacto na coleta de dados,Mundial,Pandemia COVID-19,https://public.wmo.int/en/media/press-release/covid-19-impacts-observing-system
"01/06/2020
Reportado em maio",30/11/2020,Previsão de estação de furacões (01/06 a 20/11/2020) acima da normal (60% de chances),Oceano Atlântico,"The combination of several climate factors is driving the strong likelihood for above-normal activity in the Atlantic this year. El Nino Southern Oscillation (ENSO) conditions are expected to either remain neutral or to trend toward La Nina, meaning there will not be an El Nino present to suppress hurricane activity. Also, warmer-than-average sea surface temperatures in the tropical Atlantic Ocean and Caribbean Sea, coupled with reduced vertical wind shear, weaker tropical Atlantic trade winds, and an enhanced west African monsoon all increase the likelihood for an above-normal Atlantic hurricane season. Similar conditions have been producing more active seasons since the current high-activity era began in 1995.",https://www.noaa.gov/media-release/busy-atlantic-hurricane-season-predicted-for-2020
Junho,"Setembro
Reportado em 19/05/2020",Previsão de chuvas acima da normal,Leste africano,Não explica o porquê,"https://public.wmo.int/en/media/news/wet-season-expected-across-eastern-africa
Ver também as chuvas acima da média no final de abril: https://public.wmo.int/en/media/news/more-heavy-rainfall-hits-east-africa-amid-locust-invasion"
Maio,Maio,Onda de calor,Globo/Ásia,Record de temperatura em maio,"https://www.noaa.gov/news/may-2020-tied-for-hottest-on-record-for-globe; https://www.ncdc.noaa.gov/sotc/service/global/extremes/202005.png; 
https://www.otempo.com.br/interessa/calorao-india-registra-temperatura-de-50-graus-1.2342483

"
Fim verão/início outono,Em andamento,Baixa vazão dos rios,Paraná,Estiagem no Sul,https://ricmais.com.br/noticias/seca-parana-vazoes-rio-iguacu-uniao-da-vitoria-mais-baixas/
27/05/2020,27/05/2020,Lançamento da SpaceX adiado,Flórida,Tempestade Bertha e tempestades locais,https://www.nbcnews.com/science/space/spacex-launch-today-countdown-begins-stormy-weather-looms-n1215401
22/05/2020,29/05/2020,Onda de frio,Centro-Sul,Passagem ciclone e massa de ar polar,https://www.climatempo.com.br/noticia/2020/05/27/fim-de-maio-muito-gelado-no-brasil-3768
20-Oct,Em andamento,Impactos na ciência e poluição do ar,Mundo,Pandemia COVID-19,https://public.wmo.int/en/media/news/wmo-informs-impact-of-covid-19-science
Início de 2020,Em andamento,Impacto na coleta de dados,Mundial,Pandemia COVID-19,https://public.wmo.int/en/media/press-release/covid-19-impacts-observing-system
01/06/2020 - Reportado em maio,30/11/2020,Previsão de estação de furacões (01/06 a 20/11/2020) acima da normal (60% de chances),Oceano Atlântico,"The combination of several climate factors is driving the strong likelihood for above-normal activity in the Atlantic this year. El Nino Southern Oscillation (ENSO) conditions are expected to either remain neutral or to trend toward La Nina, meaning there will not be an El Nino present to suppress hurricane activity. Also, warmer-than-average sea surface temperatures in the tropical Atlantic Ocean and Caribbean Sea, coupled with reduced vertical wind shear, weaker tropical Atlantic trade winds, and an enhanced west African monsoon all increase the likelihood for an above-normal Atlantic hurricane season. Similar conditions have been producing more active seasons since the current high-activity era began in 1995.",https://www.noaa.gov/media-release/busy-atlantic-hurricane-season-predicted-for-2020
Junho - Reportado em 19/05/2020,Setembro,Previsão de chuvas acima da normal,Leste africano,Não explica o porquê,"https://public.wmo.int/en/media/news/wet-season-expected-across-eastern-africa
Ver também as chuvas acima da média no final de abril: https://public.wmo.int/en/media/news/more-heavy-rainfall-hits-east-africa-amid-locust-invasion"
23/06,,Nuvem de gafanhos,"Paraguai, Argentina e Uruguai, com possibilidade de chegar ao RS e SC",Tempo seco e quente,"https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/06/23/emater-orienta-produtores-da-fronteira-oeste-a-monitorar-chegada-de-nuvem-de-gafanhotos.ghtml
https://noticias.r7.com/internacional/nuvem-de-gafanhotos-na-argentina-deixa-fronteira-com-brasil-em-alerta-23062020
https://g1.globo.com/economia/agronegocios/noticia/2020/06/23/nuvem-de-gafanhotos-chega-a-argentina-e-se-aproxima-do-brasil.ghtml"
~20/06/2020,24/06/2020,Calor no RS na primeira semana do inverno (temperaturas ~30ºC em várias cidades),Rio Grande do Sul,Situação pré-frontal com vento norte,"https://www.correiodopovo.com.br/tempo/rs-ter%C3%A1-mais-um-dia-de-calor-em-pleno-inverno-1.347183
https://gauchazh.clicrbs.com.br/ambiente/noticia/2020/06/queda-brusca-de-temperatura-chuva-e-geada-tempo-vira-no-rs-ckbthpb18007b0162fhgv1dss.html"
"Ocorrido em 31 de outubro de 2018, porém anunciado oficilamente em 25/06/2020",,Anúncio oficial da WMO sobre os records mundiais de maior descarga elétrica (709 km) e mais duradouro (16.730 s),"Sul do Brasil, iniciando no nordeste da Argentina, até o oceano Atlântico",MCSs,"https://www.washingtonpost.com/weather/2020/06/25/lightning-megaflash-world-record/?itid=hp_hp-more-top-stories-2_cwg-lightning-1pm%3Ahomepage%2Fstory-ans
https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2020GL088888
https://jornal.usp.br/ciencias/sul-do-brasil-tem-recorde-mundial-de-extensao-de-um-raio-709-quilometros/"
14/06/2020,28/06/2020,"Nuvem de poeira do Sahara denominada ""Godzila""","Sahara, Oceano Atlantico Tropical, Norte da América do Sul, Caribe, sul e sudeste dos USA",,"https://www.bbc.com/news/world-latin-america-53177693
https://www.theguardian.com/world/2020/jun/23/godzilla-dust-cloud-from-sahara-blankets-caribbean-on-its-way-to-us
https://www.nbcphiladelphia.com/news/local/a-meteorologist-explains-whats-up-with-this-saharan-dust-cloud-coming-our-way/2446955/"
30/06/2020,3/7/2020,Ciclone bomba,Sul do Brasil e oceano Atlântico adjacente,,"https://www.climatempo.com.br/noticia/2020/07/02/onde-esta-o-ciclone-bomba-hoje--4470
https://catracalivre.com.br/mais/ciclone-bomba-mata-10-e-segue-com-ventos-de-130-km-h-no-sul/"
26/06/2020,27/06/2020,Chuvas Volumosas em SP,Capital e litoral SP,Frente fria,"https://g1.globo.com/sp/santos-regiao/noticia/2020/06/27/chuva-forte-causa-alagamentos-e-deslizamento-na-baixada-santista.ghtml
https://www.terra.com.br/noticias/climatempo/sao-paulo-chuva-de-7h-supera-a-media-para-junho,fb13a5986cf91cffb261bda0c8d3cd7afdahgjf9.html
https://www.climatempo.com.br/noticia/2020/06/27/chuva-em-sao-paulo-bate-recorde-para-24h-em-junho-4378"
1/6/2020,10/6/2020,Tempestade Tropical Cristobal,Golfo do México,Temporada furacões Atlantico Norte,https://www.theguardian.com/us-news/2020/jun/10/tropical-storm-cristobal-brings-heavy-rain-and-flooding-to-southern-us
Junho,,Onda de calor e recordes de temperatura,Sibéria,,https://www.tempo.com/noticias/actualidade/siberia-enfrenta-onda-de-calor-extrema-sem-precedentes.html
1/6/2020,4/6/2020,Ciclone Nisarga,India,,https://www.tempo.com/noticias/actualidade/ciclone-nisarga-atinge-costa-oeste-da-india.html
30/06/2020,3/7/2020,Ciclone bomba,Sul do Brasil e oceano Atlântico adjacente,,"https://www.climatempo.com.br/noticia/2020/07/02/onde-esta-o-ciclone-bomba-hoje--4470
https://catracalivre.com.br/mais/ciclone-bomba-mata-10-e-segue-com-ventos-de-130-km-h-no-sul/
https://portal.inmet.gov.br/noticias/ciclone-bomba-fortes-ventos-e-tempestades-associados-%C3%A0-forma%C3%A7%C3%A3o-do-ciclone-extratropical-e-ao-desenvolvimento-de-uma-ciclog%C3%AAnese-explosiva-ou-ciclone-bomba"
